"Foreign","0-4 years",1892
"Foreign","5-9 years",1573
"Foreign","10-14 years",1120
"Foreign","15-19 years",2364
"Foreign","20-24 years",14683
"Foreign","25-29 years",10078
"Foreign","30-34 years",6543
"Foreign","35-39 years",4506
"Foreign","40-44 years",3253
"Foreign","45-49 years",2303
"Foreign","50-54 years",1642
"Foreign","55-59 years",1085
"Foreign","60-64 years",716
"Foreign","65-69 years",416
"Foreign","70-74 years",214
"Foreign","75-79 years",105
"Foreign","80-84 years",48
"Foreign","85-89 years",28
"Foreign","90-94 years",9
"Foreign","95-99 years",2
"Foreign","100-104 years",0
"Foreign","105-109 years",0
"Foreign","110 years +",0
