"0 years","Albania",0,1,0,0,0,3,0,1,0,1,0,0,1,2,1
"0 years","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Belarus",1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
"0 years","Belgium",1,2,1,2,2,5,4,4,2,2,1,1,4,5,2
"0 years","Bosnia and Herzegovina",5,4,8,7,7,8,4,5,7,7,2,5,3,3,3
"0 years","Bulgaria",2,5,6,4,8,10,10,8,11,6,8,4,14,10,9
"0 years","Cyprus",0,0,0,0,0,3,0,0,1,0,0,1,0,0,0
"0 years","GDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Estonia",1,0,1,2,3,1,3,2,3,1,0,3,1,0,0
"0 years","Finland",5,2,12,5,1,12,14,9,11,6,7,4,4,5,4
"0 years","France",5,10,10,13,5,11,12,11,7,12,14,9,10,13,13
"0 years","Greece",0,0,1,1,1,2,4,4,1,3,5,2,5,5,5
"0 years","Ireland",0,1,0,1,3,2,5,1,4,0,6,2,1,3,1
"0 years","Iceland",28,28,16,15,19,17,27,17,14,17,17,19,17,7,22
"0 years","Italy",7,5,9,15,9,12,11,14,11,23,11,7,13,19,12
"0 years","Yugoslavia",8,6,2,5,4,3,2,5,3,0,2,2,1,0,0
"0 years","Yugoslavia, Federal Republic",4,1,4,3,0,0,0,0,0,2,1,0,1,0,0
"0 years","Kosovo",4,7,5,11,6,8,4,1,8,5,4,2,4,1,4
"0 years","Croatia",1,2,1,1,2,5,2,1,5,3,4,2,5,6,0
"0 years","Latvia",6,12,5,9,9,1,5,6,5,5,1,1,3,5,1
"0 years","Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Lithuania",18,9,15,23,30,13,29,18,27,16,15,11,7,10,3
"0 years","Luxembourg",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"0 years","Malta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0 years","Moldova",0,1,0,0,1,0,0,0,0,1,1,1,2,4,1
"0 years","Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Montenegro",0,0,0,0,0,0,0,1,0,1,2,2,0,1,2
"0 years","Netherlands",7,5,4,6,7,5,9,8,5,10,4,3,11,10,8
"0 years","Northern Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Republic of North Macedonia",3,4,5,7,5,2,0,4,6,4,7,4,7,3,4
"0 years","Norway",20,21,22,17,18,17,17,21,14,16,12,17,11,9,6
"0 years","Poland",55,50,38,47,41,46,49,35,31,31,34,19,26,38,35
"0 years","Portugal",0,1,3,2,4,7,7,9,5,5,8,7,23,12,16
"0 years","Romania",9,20,18,20,21,30,27,41,39,41,31,27,36,42,42
"0 years","Russia",14,10,15,11,18,11,11,8,10,8,6,7,3,11,9
