"0 years","Albania",2,9,5,5,13,7,8,3,7,12,11,11,16,16,17
"0 years","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Belarus",11,9,11,11,9,8,10,8,11,8,11,11,16,10,13
"0 years","Belgium",6,7,4,8,14,13,6,14,14,7,13,10,21,18,15
"0 years","Bosnia and Herzegovina",223,266,226,227,222,236,241,234,250,202,194,198,189,125,121
"0 years","Bulgaria",19,38,44,57,67,84,93,139,130,137,166,140,165,144,173
"0 years","Cyprus",1,0,0,1,0,1,0,1,3,1,1,0,3,4,1
"0 years","GDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Estonia",11,10,16,8,17,11,13,22,17,19,12,18,16,19,10
"0 years","Finland",20,17,25,18,21,18,22,16,23,34,26,20,25,19,26
"0 years","France",22,35,31,37,26,49,46,44,40,50,48,54,66,60,72
"0 years","Greece",3,3,10,6,9,11,17,23,27,40,30,39,36,33,49
"0 years","Ireland",2,2,2,6,3,4,3,7,6,6,15,10,8,8,9
"0 years","Iceland",155,155,123,136,117,102,104,116,108,106,95,93,92,88,78
"0 years","Italy",10,19,17,26,40,38,41,59,55,52,77,65,73,81,93
"0 years","Yugoslavia",116,113,102,122,93,98,94,77,74,54,46,51,47,29,27
"0 years","Yugoslavia, Federal Republic",30,43,30,33,19,22,23,13,14,11,9,10,12,7,6
"0 years","Kosovo",21,36,39,53,57,70,80,74,76,67,66,60,64,59,59
"0 years","Croatia",4,9,4,9,3,12,15,14,17,13,31,23,28,28,39
"0 years","Latvia",38,49,68,64,69,74,70,84,90,72,92,73,76,65,67
"0 years","Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Lithuania",100,117,134,142,207,173,192,205,195,244,224,226,225,208,181
"0 years","Luxembourg",0,1,0,1,1,2,3,1,0,1,1,3,3,5,2
"0 years","Malta",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"0 years","Moldova",5,11,3,8,11,11,15,19,16,18,32,42,26,37,40
"0 years","Monaco",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
"0 years","Montenegro",2,1,9,5,4,6,7,7,7,6,6,8,5,10,7
"0 years","Netherlands",61,41,42,45,37,29,51,40,44,54,44,52,56,47,51
"0 years","Northern Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Republic of North Macedonia",50,61,61,60,54,70,60,70,59,78,65,55,74,58,51
"0 years","Norway",67,55,65,67,58,50,81,77,67,81,71,83,88,71,76
"0 years","Poland",333,382,454,464,485,519,579,588,591,580,505,510,441,454,411
"0 years","Portugal",7,8,8,9,8,20,20,29,26,20,23,28,27,31,29
"0 years","Romania",77,98,127,214,246,367,472,545,607,657,788,635,721,685,626
"0 years","Russia",70,62,90,91,89,122,105,120,115,108,121,113,76,81,85
"0 years","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Switzerland",6,9,5,7,6,12,4,5,8,6,12,12,12,11,15
"0 years","Serbia",20,20,29,28,28,39,25,57,56,54,42,48,52,47,45
"0 years","Serbia and Montenegro",17,23,19,15,13,17,13,19,9,12,13,11,13,9,2
"0 years","Slovakia",6,9,14,14,17,24,18,25,24,25,26,26,31,23,28
"0 years","Slovenia",4,3,3,8,9,5,7,6,4,5,8,4,5,4,8
"0 years","Soviet Union",5,4,6,3,2,6,5,5,4,3,6,3,1,2,6
"0 years","Spain",9,17,18,29,23,40,42,58,52,61,65,55,64,58,65
"0 years","United Kingdom",56,65,64,74,67,69,76,82,86,88,95,88,97,88,107
